Image Path,Image Name,DateTimeOriginal,Latitude,Longitude
20240819/Cam3/FLIR_20240819_024502_017.jpg,FLIR_20240819_024502_017.jpg,2024:08:19 14:45:01,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_102509_921.jpg,FLIR_20240819_102509_921.jpg,2024:08:19 10:25:09,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_104642_812.jpg,FLIR_20240819_104642_812.jpg,2024:08:19 10:46:42,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_024249_627.jpg,FLIR_20240819_024249_627.jpg,2024:08:19 14:42:49,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_103205_104.jpg,FLIR_20240819_103205_104.jpg,2024:08:19 10:32:05,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_030230_653.jpg,FLIR_20240819_030230_653.jpg,2024:08:19 15:02:30,-22.342777777777776,-69.52975277777777
20240819/Cam3/FLIR_20240819_024350_093.jpg,FLIR_20240819_024350_093.jpg,2024:08:19 14:43:49,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_105123_100.jpg,FLIR_20240819_105123_100.jpg,2024:08:19 10:51:22,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_101756_924.jpg,FLIR_20240819_101756_924.jpg,2024:08:19 10:17:56,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_025005_352.jpg,FLIR_20240819_025005_352.jpg,2024:08:19 14:50:05,-22.34293611111111,-69.5297638888889
20240819/Cam3/FLIR_20240819_103732_452.jpg,FLIR_20240819_103732_452.jpg,2024:08:19 10:37:32,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_023907_150.jpg,FLIR_20240819_023907_150.jpg,2024:08:19 14:39:07,-22.341730555555554,-69.52943611111111
20240819/Cam1/FLIR_20240819_031226_711.jpg,FLIR_20240819_031226_711.jpg,2024:08:19 15:12:26,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_103937_672.jpg,FLIR_20240819_103937_672.jpg,2024:08:19 10:39:37,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_103342_325.jpg,FLIR_20240819_103342_325.jpg,2024:08:19 10:33:42,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_103827_360.jpg,FLIR_20240819_103827_360.jpg,2024:08:19 10:38:27,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_032614_220.jpg,FLIR_20240819_032614_220.jpg,2024:08:19 15:26:14,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_101756_256.jpg,FLIR_20240819_101756_256.jpg,2024:08:19 10:17:56,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_100245_862.jpg,FLIR_20240819_100245_862.jpg,2024:08:19 10:02:45,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_104346_573.jpg,FLIR_20240819_104346_573.jpg,2024:08:19 10:43:46,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_032043_125.jpg,FLIR_20240819_032043_125.jpg,2024:08:19 15:20:42,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_100910_917.jpg,FLIR_20240819_100910_917.jpg,2024:08:19 10:09:10,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_103001_032.jpg,FLIR_20240819_103001_032.jpg,2024:08:19 10:30:00,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_103403_402.jpg,FLIR_20240819_103403_402.jpg,2024:08:19 10:34:03,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_104007_830.jpg,FLIR_20240819_104007_830.jpg,2024:08:19 10:40:07,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_101524_945.jpg,FLIR_20240819_101524_945.jpg,2024:08:19 10:15:24,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_100939_759.jpg,FLIR_20240819_100939_759.jpg,2024:08:19 10:09:39,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_023633_784.jpg,FLIR_20240819_023633_784.jpg,2024:08:19 14:36:33,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_102801_730.jpg,FLIR_20240819_102801_730.jpg,2024:08:19 10:28:01,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_024929_887.jpg,FLIR_20240819_024929_887.jpg,2024:08:19 14:49:29,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_024729_536.jpg,FLIR_20240819_024729_536.jpg,2024:08:19 14:47:29,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_104705_017.jpg,FLIR_20240819_104705_017.jpg,2024:08:19 10:47:04,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_100420_996.jpg,FLIR_20240819_100420_996.jpg,2024:08:19 10:04:20,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_025107_942.jpg,FLIR_20240819_025107_942.jpg,2024:08:19 14:51:07,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_101329_977.jpg,FLIR_20240819_101329_977.jpg,2024:08:19 10:13:29,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_103226_065.jpg,FLIR_20240819_103226_065.jpg,2024:08:19 10:32:25,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_025945_897.jpg,FLIR_20240819_025945_897.jpg,2024:08:19 14:59:45,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_025240_542.jpg,FLIR_20240819_025240_542.jpg,2024:08:19 14:52:40,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_025039_942.jpg,FLIR_20240819_025039_942.jpg,2024:08:19 14:50:39,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_025858_251.jpg,FLIR_20240819_025858_251.jpg,2024:08:19 14:58:58,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_025314_326.jpg,FLIR_20240819_025314_326.jpg,2024:08:19 14:53:14,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_032118_399.jpg,FLIR_20240819_032118_399.jpg,2024:08:19 15:21:18,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_024025_674.jpg,FLIR_20240819_024025_674.jpg,2024:08:19 14:40:25,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_102907_402.jpg,FLIR_20240819_102907_402.jpg,2024:08:19 10:29:07,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_033531_900.jpg,FLIR_20240819_033531_900.jpg,2024:08:19 15:35:31,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_033706_617.jpg,FLIR_20240819_033706_617.jpg,2024:08:19 15:37:06,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_033441_480.jpg,FLIR_20240819_033441_480.jpg,2024:08:19 15:34:41,-22.339913888888887,-69.5300861111111
20240819/Cam1/FLIR_20240819_101142_599.jpg,FLIR_20240819_101142_599.jpg,2024:08:19 10:11:42,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_101700_042.jpg,FLIR_20240819_101700_042.jpg,2024:08:19 10:16:59,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_104428_998.jpg,FLIR_20240819_104428_998.jpg,2024:08:19 10:44:28,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_100535_345.jpg,FLIR_20240819_100535_345.jpg,2024:08:19 10:05:35,-22.339805555555554,-69.529475
20240819/Cam1/FLIR_20240819_100741_196.jpg,FLIR_20240819_100741_196.jpg,2024:08:19 10:07:41,-22.339805555555554,-69.529475
